entity_id,entity_type,text,date
acme_corp,Customer,Payment of INR 100000 confirmed via WhatsApp. Client happy with the progress.,2026-06-10
acme_corp,Customer,Invoice shows payment of INR 150000 received via Email. Team followed up on discrepancy.,2026-06-20
acme_corp,Customer,Delivery promised by 2026-07-15 as per meeting notes with client.,2026-06-12
acme_corp,Customer,Vendor emailed delivery delayed by 2026-08-01 due to supply chain.,2026-06-22
globex_inc,Vendor,Delivery committed by 2026-06-30 via WhatsApp discussion.,2026-06-05
globex_inc,Vendor,Supplier emailed delivery delayed by 2026-07-15 via Email.,2026-06-18
globex_inc,Vendor,Payment of INR 50000 released via Email confirmation.,2026-06-10
globex_inc,Vendor,Payment of INR 75000 processed as per meeting decision.,2026-06-20
nova_dynamics,Partner,Delivery promised by 2026-07-01 in Linkedin message.,2026-06-01
nova_dynamics,Partner,Partner emailed delivery delayed by 2026-07-20 via Email.,2026-06-15
nova_dynamics,Partner,Payment of INR 200000 committed via WhatsApp discussion.,2026-06-05
nova_dynamics,Partner,Payment of INR 180000 confirmed via Email from finance.,2026-06-19
zenith_corp,Customer,Delivery by 2026-07-10 confirmed via call with client.,2026-06-02
zenith_corp,Customer,Client meeting rescheduled delivery by 2026-08-05 via Email.,2026-06-16
zenith_corp,Customer,Payment of INR 300000 processed via Email.,2026-06-08
zenith_corp,Customer,Payment of INR 280000 recorded in CRM call notes.,2026-06-21
pinnacle_ltd,Vendor,Payment of INR 75000 released via Email.,2026-06-03
pinnacle_ltd,Vendor,Payment of INR 90000 confirmed in meeting minutes.,2026-06-17
pinnacle_ltd,Vendor,Delivery due by 2026-07-05 per WhatsApp discussion.,2026-06-07
pinnacle_ltd,Vendor,Delivery rescheduled by 2026-07-25 as per Email from logistics.,2026-06-23
